"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007059","GO:0007059","chromosome segregation","88/574","330/23355",9.67349546816304e-66,3.43989498847878e-62,2.6373003434255e-62,"Sgo2a/Hjurp/Nuf2/Hnrnpu/Cenpf/Nek2/Spc25/Kif18a/Bub1b/Knstrn/Knl1/Nusap1/Ncaph/Bub1/Ube2c/Slc25a5/Kif4/Smc1a/Ect2/Smc4/Pmf1/Psrc1/Cenpe/Smc2/Cdk5rap2/Kif2c/Cdc20/Cdca8/Sfpq/Nudc/Rcc2/Cenps/Tacc3/Ncapg/Cenpc1/Cit/Anapc5/Ran/Mad2l1/Rad18/Ncapd2/Prc1/Rps3/Plk1/Kif22/Bub3/Mki67/Fbxo5/Cenpw/Ctcf/Top2b/Dlgap5/Ska3/Esco2/Cdca2/Ncapd3/Kif23/Ttk/Spdl1/Pttg1/Aurkb/Haspin/Spag5/Ska2/Kpnb1/Top2a/Brca1/Birc5/Trip13/Cenph/Ccnb1/Cenpk/Smc6/Ncapg2/Rad21/Racgap1/Naa50/Ube2i/Srpk1/Cenpq/Sgo1/Ndc80/Cep192/Ska1/Banf1/Cdca5/Incenp/Fen1",88
"GO:0000819","GO:0000819","sister chromatid segregation","62/574","184/23355",2.86840610603277e-53,5.10002605652626e-50,3.91009042874993e-50,"Sgo2a/Nuf2/Hnrnpu/Nek2/Kif18a/Bub1b/Knstrn/Nusap1/Ncaph/Bub1/Ube2c/Kif4/Smc1a/Smc4/Psrc1/Cenpe/Smc2/Cdk5rap2/Kif2c/Cdc20/Cdca8/Sfpq/Nudc/Tacc3/Ncapg/Cenpc1/Cit/Anapc5/Ran/Mad2l1/Ncapd2/Prc1/Plk1/Kif22/Bub3/Fbxo5/Top2b/Esco2/Ncapd3/Kif23/Ttk/Spdl1/Pttg1/Aurkb/Haspin/Spag5/Kpnb1/Top2a/Birc5/Trip13/Ccnb1/Cenpk/Ncapg2/Rad21/Racgap1/Naa50/Sgo1/Ndc80/Cep192/Cdca5/Incenp/Fen1",62
"GO:0000070","GO:0000070","mitotic sister chromatid segregation","57/574","154/23355",1.0217792976258e-51,1.21114906078578e-48,9.2856434415818e-49,"Sgo2a/Nuf2/Hnrnpu/Nek2/Kif18a/Bub1b/Knstrn/Nusap1/Ncaph/Bub1/Ube2c/Kif4/Smc1a/Smc4/Psrc1/Cenpe/Smc2/Cdk5rap2/Kif2c/Cdc20/Cdca8/Nudc/Tacc3/Ncapg/Cenpc1/Cit/Anapc5/Ran/Mad2l1/Ncapd2/Prc1/Plk1/Kif22/Bub3/Fbxo5/Ncapd3/Kif23/Ttk/Spdl1/Pttg1/Aurkb/Haspin/Spag5/Kpnb1/Birc5/Trip13/Ccnb1/Cenpk/Ncapg2/Rad21/Racgap1/Naa50/Sgo1/Ndc80/Cep192/Cdca5/Incenp",57
"GO:0140014","GO:0140014","mitotic nuclear division","69/574","275/23355",1.6684643477111e-49,1.48326480511517e-46,1.13719017383467e-46,"Sgo2a/Nuf2/Hnrnpu/Nek2/Kif18a/Bub1b/Knstrn/Nusap1/Ncaph/Bub1/Tpx2/Ube2c/Aurka/Kif4/Smc1a/Smc4/Psrc1/Cenpe/Smc2/Cdk5rap2/Kif2c/Cdc20/Cdca8/Nudc/Ywhah/Tacc3/Ncapg/Cenpc1/Cit/Anapc5/Ran/Mad2l1/Ncapd2/Ube2s/Prc1/Plk1/Kif22/Bub3/Mki67/Fbxo5/Bora/Ncapd3/Kif23/Phip/Ttk/Spdl1/Pttg1/Aurkb/Haspin/Spag5/Kpnb1/Birc5/Trip13/Ccnb1/Cenpk/Ncapg2/Rad21/Racgap1/Ranbp1/Naa50/Rpl24/Kifc1/Sgo1/Ndc80/Cep192/Cdca5/Incenp/Kif20b/Kif11",69
"GO:0098813","GO:0098813","nuclear chromosome segregation","68/574","267/23355",2.94697249707716e-49,2.09588683992127e-46,1.60687552998523e-46,"Sgo2a/Nuf2/Hnrnpu/Cenpf/Nek2/Kif18a/Bub1b/Knstrn/Knl1/Nusap1/Ncaph/Bub1/Ube2c/Kif4/Smc1a/Ect2/Smc4/Psrc1/Cenpe/Smc2/Cdk5rap2/Kif2c/Cdc20/Cdca8/Sfpq/Nudc/Rcc2/Cenps/Tacc3/Ncapg/Cenpc1/Cit/Anapc5/Ran/Mad2l1/Ncapd2/Prc1/Plk1/Kif22/Bub3/Fbxo5/Top2b/Esco2/Ncapd3/Kif23/Ttk/Spdl1/Pttg1/Aurkb/Haspin/Spag5/Kpnb1/Top2a/Birc5/Trip13/Ccnb1/Cenpk/Ncapg2/Rad21/Racgap1/Naa50/Cenpq/Sgo1/Ndc80/Cep192/Cdca5/Incenp/Fen1",68
"GO:0000280","GO:0000280","nuclear division","79/574","434/23355",1.95470074410936e-45,1.15848597434215e-42,8.88188583726883e-43,"Sgo2a/Aspm/Nuf2/Hnrnpu/Nek2/Kif18a/Bub1b/Knstrn/Rad51/Nusap1/Ncaph/Bub1/Tpx2/Ube2c/Aurka/Kif4/Smc1a/Smc4/Psrc1/Cenpe/Smc2/Cdk5rap2/Kif2c/Cdc20/Cdca8/Nudc/Cenps/Ywhah/Tacc3/Ncapg/Cenpc1/Cit/Anapc5/Ran/Mad2l1/Ncapd2/Rad51ap1/Ube2s/Prc1/Plk1/Kif22/Bub3/Mki67/Fbxo5/Top2b/Bora/Ncapd3/Kif23/Ccnb2/Phip/Ttk/Topbp1/Spdl1/Pttg1/Aurkb/Haspin/Spag5/Kpnb1/Top2a/Birc5/Cks2/Trip13/Ccnb1/Cenpk/Ncapg2/Rad21/Racgap1/Ranbp1/Naa50/Rpl24/Kifc1/Sgo1/Ndc80/Cep192/Cdca5/Incenp/Kif20b/Kif11/Ubb",79
"GO:0048285","GO:0048285","organelle fission","80/574","490/23355",2.420889413271e-42,1.22981182194167e-39,9.42872718852914e-40,"Sgo2a/Aspm/Nuf2/Hnrnpu/Nek2/Kif18a/Bub1b/Knstrn/Rad51/Nusap1/Ncaph/Bub1/Tpx2/Ube2c/Aurka/Kif4/Smc1a/Smc4/Psrc1/Cenpe/Smc2/Cdk5rap2/Kif2c/Cdc20/Cdca8/Nudc/Cenps/Ywhah/Tacc3/Ncapg/Cenpc1/Coro1c/Cit/Anapc5/Ran/Mad2l1/Ncapd2/Rad51ap1/Ube2s/Prc1/Plk1/Kif22/Bub3/Mki67/Fbxo5/Top2b/Bora/Ncapd3/Kif23/Ccnb2/Phip/Ttk/Topbp1/Spdl1/Pttg1/Aurkb/Haspin/Spag5/Kpnb1/Top2a/Birc5/Cks2/Trip13/Ccnb1/Cenpk/Ncapg2/Rad21/Racgap1/Ranbp1/Naa50/Rpl24/Kifc1/Sgo1/Ndc80/Cep192/Cdca5/Incenp/Kif20b/Kif11/Ubb",80
"GO:0022613","GO:0022613","ribonucleoprotein complex biogenesis","67/574","408/23355",1.23792062621437e-35,5.50255718352285e-33,4.21870318670422e-33,"Rpl7/Nop58/Ncl/Snrpe/Dhx9/Rpl7a/Rpl35/Snrpb/Nop56/Eif2s2/Rbmx/Exosc8/Ptbp2/Gar1/Chd7/Psip1/Rps6/Rps8/Rpl11/Mrpl20/Lyar/Rpl5/Rplp0/Rpl6/Ran/Snrpg/Rps5/Rps19/Fbl/Rps16/Rpl13a/Rps17/Ddx21/Rps15/Snrpf/Ptges3/Pa2g4/Lsm4/Lsm6/Nudt21/Rps24/Rps25/Rps27l/Rpsa/Rpl14/Xpo1/Npm1/Nhp2/Rpl26/C1qbp/Rpl23a/Rpl27/Rpl38/Rps7/Hsp90aa1/Rpl3/Rpl35a/Rpl24/Rps2/Rpl10a/Srpk1/Rps28/Lsm2/Hsp90ab1/Snrpd1/Eif3a/Celf4",67
"GO:0044772","GO:0044772","mitotic cell cycle phase transition","64/574","383/23355",1.60874970423383e-34,6.35634883139501e-32,4.87328857773757e-32,"Cenpf/Dtl/Bub1b/Bub1/Ube2c/Ccna2/Cks1b/Cenpe/Eif4e/Anp32b/Cdk5rap2/Rps6/Cdkn2c/Nasp/Clspn/Rpa2/Rcc2/Dbf4/Tacc3/Cit/Anapc5/Ezh2/Mad2l1/Ccnd2/Foxm1/Ube2s/Blm/Plk1/Bub3/Ccnd1/Fbxo5/Cdk1/Cdk4/Tfdp1/Lzts1/Cdkn2d/Rps27l/Ccnb2/Ttk/Topbp1/Egfr/Spdl1/Rpl26/Aurkb/Haspin/Atad5/Brca1/Birc5/Sox4/E2f3/Cks2/Trip13/Ccnb1/Skp2/Rad21/Rpl24/Ndc80/Calm2/Rbbp8/Cdc25c/Lmnb1/Cep192/Rpl17/Cdca5",64
"GO:0044770","GO:0044770","cell cycle phase transition","66/574","424/23355",1.19423372922723e-33,4.24669514113204e-31,3.25585827231425e-31,"Cenpf/Dtl/Bub1b/Bub1/Ube2c/Ccna2/Cks1b/Cenpe/Eif4e/Anp32b/Cdk5rap2/Rps6/Cdkn2c/Nasp/Clspn/Rpa2/Rcc2/Dbf4/Tacc3/Cit/Anapc5/Ezh2/Mad2l1/Ccnd2/Foxm1/Ube2s/Blm/Plk1/Bub3/Ccnd1/Fbxo5/Cdk1/Cdk4/Tfdp1/Lzts1/Cdkn2d/Tipin/Rps27l/Ccnb2/Ttk/Topbp1/Egfr/Npm1/Spdl1/Rpl26/Aurkb/Haspin/Atad5/Brca1/Birc5/Sox4/E2f3/Cks2/Trip13/Ccnb1/Skp2/Rad21/Rpl24/Ndc80/Calm2/Rbbp8/Cdc25c/Lmnb1/Cep192/Rpl17/Cdca5",66
