"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"mmu03010","mmu03010","Ribosome","76/302","179/8930",3.11278667823017e-66,6.31895695680725e-64,5.50471749413336e-64,"19989/114641/19981/27176/269261/66489/67248/20102/19982/20091/68436/67427/20104/20116/67025/19934/66448/20005/100503670/11837/19988/19933/19951/76846/19943/20103/20085/20055/27207/22121/19899/20068/27050/26451/68052/267019/67186/20042/20054/67945/27370/76808/270106/66480/20088/75617/56040/67891/67941/16785/67115/78294/19941/268449/65019/19921/19942/67671/66475/20115/20090/66483/67281/19946/26961/27367/57808/68193/67681/16898/19896/54127/20084/54217/319195/14109",76
"mmu05171","mmu05171","Coronavirus disease - COVID-19","75/302","247/8930",1.3203873778826e-52,1.34019318855084e-50,1.1675004183383e-50,"19989/114641/19981/27176/269261/66489/67248/20102/19982/20091/68436/67427/20104/20116/67025/19934/20005/100503670/11837/19988/19933/19951/76846/19943/20103/20085/20055/27207/22121/19899/20068/27050/26451/68052/267019/67186/20042/20054/67945/27370/76808/270106/66480/20088/75617/56040/67891/67941/16785/67115/13649/78294/19941/268449/65019/19921/19942/67671/66475/20115/20090/66483/67281/19946/26961/27367/57808/68193/16898/19896/54127/20084/54217/319195/14109",75
"mmu04110","mmu04110","Cell cycle","35/302","125/8930",3.8521289341174e-23,2.60660724541944e-21,2.27072863484815e-21,"17215/17219/12236/12235/18538/24061/12428/12580/107995/12571/27214/22629/59008/17220/56150/17216/12444/22390/18817/12237/12443/15182/12534/12567/21781/17218/12581/12442/22137/30939/13557/268697/27401/19357/12532",35
"mmu03040","mmu03040","Spliceosome","28/302","134/8930",4.32491710595883e-15,1.82293357422521e-13,1.58803650749202e-13,"20643/51810/229279/20638/19655/60365/13204/76522/66373/68011/67678/68981/69878/50783/78651/101943/20382/21681/15387/15382/20462/20383/108121/76936/27756/225027/20641/56070",28
"mmu03030","mmu03030","DNA replication","16/302","35/8930",4.48998417296851e-15,1.82293357422521e-13,1.58803650749202e-13,"17215/17219/18538/18968/59001/19891/17220/69263/68240/17216/16881/19075/17218/106344/68209/14156",16
"mmu04114","mmu04114","Oocyte meiosis","17/302","121/8930",5.78760178589413e-07,1.95813860422751e-05,1.70581947373722e-05,"12235/20878/24061/107995/22629/19047/59008/56150/18817/67141/12534/12442/30939/268697/72415/12314/12532",17
"mmu04914","mmu04914","Progesterone-mediated oocyte maturation","13/302","92/8930",1.18180832971971e-05,0.000342724415618715,0.000298562104350241,"12235/20878/12428/59008/56150/18817/110033/12534/12442/268697/15519/15516/12532",13
"mmu04115","mmu04115","p53 signaling pathway","11/302","72/8930",2.64569330462965e-05,0.000671344676049775,0.000584837467339187,"12571/13063/12444/12443/12534/12567/12367/12442/268697/20135/30954",11
"mmu03440","mmu03440","Homologous recombination","8/302","41/8930",5.62637951532558e-05,0.00126906115734566,0.0011055342205552,"19361/19891/20422/68240/12144/235559/12189/225182",8
"mmu03430","mmu03430","Mismatch repair","6/302","22/8930",6.71679941561278e-05,0.00136351028136939,0.00118781294928731,"18538/19891/69263/68240/16881/106344",6
"mmu00240","mmu00240","Pyrimidine metabolism","9/302","57/8930",0.000110641642169613,0.00195589617491164,0.00170386599629326,"21915/110074/51797/22171/20133/66422/18102/21877/20135",9
"mmu03410","mmu03410","Base excision repair","7/302","34/8930",0.0001156194783199,0.00195589617491164,0.00170386599629326,"11545/18538/59001/15289/16881/234258/14156",7
"mmu03013","mmu03013","Nucleocytoplasmic transport","13/302","118/8930",0.000167460786986388,0.00261496459678745,0.00227800908613062,"60365/19384/66231/70572/13627/103573/16211/16647/170930/21681/19387/19826/22196",13
"mmu03460","mmu03460","Fanconi anemia pathway","8/302","51/8930",0.000279529362249973,0.00405317575262461,0.00353089720736808,"67196/19361/230484/19891/69928/68240/12144/12189",8
"mmu03420","mmu03420","Nucleotide excision repair","7/302","43/8930",0.000533610339533594,0.00722152659502131,0.00629098505555395,"18538/59001/19891/69263/68240/16881/106344",7
