"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"mmu04964","mmu04964","Proximal tubule bicarbonate reclamation","8/258","22/8930",9.8088826154803e-08,2.76610489756544e-05,2.20957987338188e-05,"11931/98660/12349/11928/54403/14661/76257/11932",8
"mmu05418","mmu05418","Fluid shear stress and atherosclerosis","17/258","148/8930",1.1513574679631e-06,0.000134825287436223,0.000107699184439536,"12043/20971/14866/14862/22329/16476/56615/13057/14860/18412/13039/14281/19252/15529/12167/18024/16598",17
"mmu03320","mmu03320","PPAR signaling pathway","13/258","89/8930",1.43431156847046e-06,0.000134825287436223,0.000107699184439536,"11363/74205/13167/20280/26457/94180/216739/11430/20411/20250/15360/22190/12140",13
"mmu04142","mmu04142","Lysosome","15/258","131/8930",5.17730564583763e-06,0.000365000048031553,0.000291564054791909,"16784/229445/19063/19156/12512/16783/13030/14667/13039/17775/56464/13033/20661/12492/108012",15
"mmu04971","mmu04971","Gastric acid secretion","11/258","75/8930",9.01047617330851e-06,0.000457668946584889,0.000365588482900957,"11931/98660/16513/16526/14683/12349/11928/14678/11932/108058/12325",11
"mmu01212","mmu01212","Fatty acid metabolism","10/258","62/8930",9.73763716138062e-06,0.000457668946584889,0.000365588482900957,"11363/74205/20280/19063/94180/216739/11430/52538/20250/76267",10
"mmu04710","mmu04710","Circadian rhythm","7/258","30/8930",1.78412074502545e-05,0.000718745785853112,0.000574138104414207,"18628/20893/19883/225998/12953/217166/79362",7
"mmu04216","mmu04216","Ferroptosis","7/258","40/8930",0.000127636538460451,0.0044991879807309,0.00359397621454428,"74205/19122/20229/14630/216739/14319/26570",7
"mmu04919","mmu04919","Thyroid hormone signaling pathway","12/258","120/8930",0.00017286228512137,0.00526000691527864,0.00420172258256673,"18802/11931/98660/20502/56458/18129/11928/58807/11932/21833/13371/74055",12
"mmu04024","mmu04024","cAMP signaling pathway","17/258","218/8930",0.000186525067917682,0.00526000691527864,0.00420172258256673,"11931/98660/98932/14683/11928/16476/11517/56188/14678/11932/20682/11430/14281/54393/108058/12325/74055",17
