"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"mmu03010","mmu03010","Ribosome",76,-0.530119545887699,-3.22838820813963,1e-10,1.96e-08,1.53684210526316e-08,466,"tags=91%, list=44%, signal=55%","20054/68436/67025/66483/22121/19941/19942/67681/78294/67281/19933/19943/100503670/66475/67671/26451/19899/114641/19934/56040/19896/75617/57808/20090/319195/67941/270106/65019/68052/76846/27176/20055/20042/20068/27367/19921/19981/269261/20115/67945/66480/268449/20084/54127/68193/66489/67186/267019/20103/26961/20102/67427/67115/20116/20104/20085/67891/19988/11837/16898/20091/19982/67248/27050/20088/19951/27370/27207/16785"
"mmu05171","mmu05171","Coronavirus disease - COVID-19",79,-0.471177804435139,-2.90147978550712,7.09564242263828e-10,6.95372957418552e-08,5.452441019501e-08,466,"tags=87%, list=44%, signal=53%","20054/68436/67025/66483/22121/19941/19942/78294/67281/19933/19943/100503670/66475/67671/26451/19899/114641/19934/56040/19896/75617/57808/20090/319195/67941/270106/65019/68052/76846/27176/20055/20042/20068/27367/19921/19981/269261/20115/67945/66480/268449/20084/54127/68193/13649/66489/67186/267019/20103/26961/20102/67427/67115/20116/20104/20085/67891/19988/11837/16898/20091/19982/67248/27050/20088/19951/27370/27207/16785"
"mmu04110","mmu04110","Cell cycle",37,-0.540489248392797,-2.69548511940538,7.32665900379913e-07,4.78675054914876e-05,3.75330601598131e-05,401,"tags=84%, list=38%, signal=54%","22629/17216/12443/21781/22390/15182/56150/17218/12581/22137/12580/17215/24061/17219/12237/18538/19357/12442/18817/12236/12235/17220/12571/12567/27214/30939/107995/12534/12428/268697/12444"
"mmu04380","mmu04380","Osteoclast differentiation",10,0.708392009270205,2.28191087534663,0.000153131111548962,0.00750342446589916,0.00588345849635487,265,"tags=90%, list=25%, signal=68%","16477/14281/12702/14282/16476/16478/19261/13057/18412"
"mmu04964","mmu04964","Proximal tubule bicarbonate reclamation",8,0.72833146759379,2.14908056258714,0.000241289952065599,0.00866828836153667,0.00679683190539395,217,"tags=88%, list=21%, signal=70%","98660/14661/11932/11931/11928/54403/12349"
"mmu04914","mmu04914","Progesterone-mediated oocyte maturation",14,-0.616231050865831,-2.28726940666606,0.00026535576616949,0.00866828836153667,0.00679683190539395,173,"tags=64%, list=16%, signal=54%","12442/18817/20878/12235/15519/110033/12534/12428/268697"
"mmu04114","mmu04114","Oocyte meiosis",20,-0.542313348655363,-2.24414463683767,0.000334390048724779,0.0087459974536841,0.00685776384660515,252,"tags=65%, list=24%, signal=50%","19047/24061/12442/18817/20878/12235/72415/30939/67141/107995/12314/12534/268697"
"mmu04978","mmu04978","Mineral absorption",7,0.780324737344795,2.17826098641955,0.000356979487905474,0.0087459974536841,0.00685776384660515,237,"tags=100%, list=22%, signal=78%","17748/98660/11932/11931/17750/11928/14319"
"mmu01100","mmu01100","Metabolic pathways",86,0.314663838217868,1.98520126627603,0.000573867856233586,0.0112688306211433,0.00883592519165909,249,"tags=42%, list=24%, signal=35%","11676/67916/14645/14862/27226/20229/11758/14661/100678/74205/20250/23945/66514/13244/11674/18242/236539/16832/56615/14860/14866/107895/216558/216739/94180/20280/12411/110078/12496/171567/212862/12349/52538/22117/11430/109801"
"mmu01230","mmu01230","Biosynthesis of amino acids",7,0.769267082506723,2.14739376283643,0.000574940337813434,0.0112688306211433,0.00883592519165909,182,"tags=86%, list=17%, signal=71%","11676/14645/100678/11674/236539/12411"
