"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007059","GO:0007059","chromosome segregation","88/574","330/23355",9.67349546816304e-66,3.43989498847878e-62,2.6373003434255e-62,"Sgo2a/Hjurp/Nuf2/Hnrnpu/Cenpf/Nek2/Spc25/Kif18a/Bub1b/Knstrn/Knl1/Nusap1/Ncaph/Bub1/Ube2c/Slc25a5/Kif4/Smc1a/Ect2/Smc4/Pmf1/Psrc1/Cenpe/Smc2/Cdk5rap2/Kif2c/Cdc20/Cdca8/Sfpq/Nudc/Rcc2/Cenps/Tacc3/Ncapg/Cenpc1/Cit/Anapc5/Ran/Mad2l1/Rad18/Ncapd2/Prc1/Rps3/Plk1/Kif22/Bub3/Mki67/Fbxo5/Cenpw/Ctcf/Top2b/Dlgap5/Ska3/Esco2/Cdca2/Ncapd3/Kif23/Ttk/Spdl1/Pttg1/Aurkb/Haspin/Spag5/Ska2/Kpnb1/Top2a/Brca1/Birc5/Trip13/Cenph/Ccnb1/Cenpk/Smc6/Ncapg2/Rad21/Racgap1/Naa50/Ube2i/Srpk1/Cenpq/Sgo1/Ndc80/Cep192/Ska1/Banf1/Cdca5/Incenp/Fen1",88
"GO:0000819","GO:0000819","sister chromatid segregation","62/574","184/23355",2.86840610603277e-53,5.10002605652626e-50,3.91009042874993e-50,"Sgo2a/Nuf2/Hnrnpu/Nek2/Kif18a/Bub1b/Knstrn/Nusap1/Ncaph/Bub1/Ube2c/Kif4/Smc1a/Smc4/Psrc1/Cenpe/Smc2/Cdk5rap2/Kif2c/Cdc20/Cdca8/Sfpq/Nudc/Tacc3/Ncapg/Cenpc1/Cit/Anapc5/Ran/Mad2l1/Ncapd2/Prc1/Plk1/Kif22/Bub3/Fbxo5/Top2b/Esco2/Ncapd3/Kif23/Ttk/Spdl1/Pttg1/Aurkb/Haspin/Spag5/Kpnb1/Top2a/Birc5/Trip13/Ccnb1/Cenpk/Ncapg2/Rad21/Racgap1/Naa50/Sgo1/Ndc80/Cep192/Cdca5/Incenp/Fen1",62
"GO:0098813","GO:0098813","nuclear chromosome segregation","68/574","267/23355",2.94697249707716e-49,2.09588683992127e-46,1.60687552998523e-46,"Sgo2a/Nuf2/Hnrnpu/Cenpf/Nek2/Kif18a/Bub1b/Knstrn/Knl1/Nusap1/Ncaph/Bub1/Ube2c/Kif4/Smc1a/Ect2/Smc4/Psrc1/Cenpe/Smc2/Cdk5rap2/Kif2c/Cdc20/Cdca8/Sfpq/Nudc/Rcc2/Cenps/Tacc3/Ncapg/Cenpc1/Cit/Anapc5/Ran/Mad2l1/Ncapd2/Prc1/Plk1/Kif22/Bub3/Fbxo5/Top2b/Esco2/Ncapd3/Kif23/Ttk/Spdl1/Pttg1/Aurkb/Haspin/Spag5/Kpnb1/Top2a/Birc5/Trip13/Ccnb1/Cenpk/Ncapg2/Rad21/Racgap1/Naa50/Cenpq/Sgo1/Ndc80/Cep192/Cdca5/Incenp/Fen1",68
"GO:0000280","GO:0000280","nuclear division","79/574","434/23355",1.95470074410936e-45,1.15848597434215e-42,8.88188583726883e-43,"Sgo2a/Aspm/Nuf2/Hnrnpu/Nek2/Kif18a/Bub1b/Knstrn/Rad51/Nusap1/Ncaph/Bub1/Tpx2/Ube2c/Aurka/Kif4/Smc1a/Smc4/Psrc1/Cenpe/Smc2/Cdk5rap2/Kif2c/Cdc20/Cdca8/Nudc/Cenps/Ywhah/Tacc3/Ncapg/Cenpc1/Cit/Anapc5/Ran/Mad2l1/Ncapd2/Rad51ap1/Ube2s/Prc1/Plk1/Kif22/Bub3/Mki67/Fbxo5/Top2b/Bora/Ncapd3/Kif23/Ccnb2/Phip/Ttk/Topbp1/Spdl1/Pttg1/Aurkb/Haspin/Spag5/Kpnb1/Top2a/Birc5/Cks2/Trip13/Ccnb1/Cenpk/Ncapg2/Rad21/Racgap1/Ranbp1/Naa50/Rpl24/Kifc1/Sgo1/Ndc80/Cep192/Cdca5/Incenp/Kif20b/Kif11/Ubb",79
"GO:0022613","GO:0022613","ribonucleoprotein complex biogenesis","67/574","408/23355",1.23792062621437e-35,5.50255718352285e-33,4.21870318670422e-33,"Rpl7/Nop58/Ncl/Snrpe/Dhx9/Rpl7a/Rpl35/Snrpb/Nop56/Eif2s2/Rbmx/Exosc8/Ptbp2/Gar1/Chd7/Psip1/Rps6/Rps8/Rpl11/Mrpl20/Lyar/Rpl5/Rplp0/Rpl6/Ran/Snrpg/Rps5/Rps19/Fbl/Rps16/Rpl13a/Rps17/Ddx21/Rps15/Snrpf/Ptges3/Pa2g4/Lsm4/Lsm6/Nudt21/Rps24/Rps25/Rps27l/Rpsa/Rpl14/Xpo1/Npm1/Nhp2/Rpl26/C1qbp/Rpl23a/Rpl27/Rpl38/Rps7/Hsp90aa1/Rpl3/Rpl35a/Rpl24/Rps2/Rpl10a/Srpk1/Rps28/Lsm2/Hsp90ab1/Snrpd1/Eif3a/Celf4",67
"GO:0002181","GO:0002181","cytoplasmic translation","34/574","92/23355",3.43208526917144e-31,1.10949956519761e-28,8.50631660014741e-29,"Rpl31/Dhx9/Eif2s2/Rpl39/Rpl11/Rpl22/Rpl9/Rplp0/Rpl6/Rpl13a/Rpl18/Eef2/Rps26/Rpl18a/Rpl15/Rplp1/Rpsa/Rpl26/Eif4a1/Rpl19/Rpl38/Rps23/Rps29/Rpl30/Rpl8/Gspt1/Rpl35a/Rpl24/Rps2/Rpl10a/Rps28/Rpl36/Rpl17/Eif3a",34
"GO:0090068","GO:0090068","positive regulation of cell cycle process","51/574","261/23355",4.94537712330866e-31,1.46548008754047e-28,1.12355497801486e-28,"Sgo2a/Hnrnpu/Dtl/Nusap1/Insm1/Ube2c/Ect2/Plk4/Cenpe/Anp32b/Sfpq/Rcc2/Dbf4/Cit/Anapc5/Ezh2/Mad2l1/Rad51ap1/Ccnd2/E2f8/Ccnd1/Fbxo5/Cdk1/Cdk4/Tfdp1/Cep295/Kif23/Phip/Egfr/Npm1/Cenpv/Rpl26/Aurkb/Spag5/Atad5/Cdk5r1/Rpl23/Brca1/Birc5/Sox4/Ccnb1/Rad21/Racgap1/Ranbp1/Ndc80/Cdc25c/Lmnb1/Rpl17/Cdca5/Fen1/Kif20b",51
"GO:0071103","GO:0071103","DNA conformation change","44/574","239/23355",8.86915641408673e-26,2.10258134723283e-23,1.6120080780691e-23,"Hjurp/Mcm6/Dhx9/H3f3a/Set/Hat1/Rad51/Nusap1/Ncaph/Smc4/Smc2/Pole3/Nasp/Rbbp4/Hp1bp3/Ncapg/Mcm7/Hmgb1/Mcm2/Ncapd2/Trim28/Blm/Cdk1/Mbd3/Nap1l1/Smarca5/Ctcf/Top2b/Dnmt1/Smarca4/Ncapd3/Smarcc1/Npm1/Cenpv/Top2a/H3f3b/Cenpp/Ccnb1/Ncapg2/Chaf1a/Banf1/Cdca5/Incenp/Hells",44
"GO:0006260","GO:0006260","DNA replication","45/574","253/23355",1.1024994983152e-25,2.45030513500552e-23,1.87860111883971e-23,"Mcm3/Mcm6/Nucks1/Dhx9/Dtl/Ssrp1/Rad51/Pcna/Pola1/Ccna2/Pole3/Nfib/Nasp/Rbbp4/Rpa2/Cenps/Dbf4/Dnajc2/Mcm7/Rfc3/Rpa3/Mcm2/Lig1/E2f8/Blm/Rrm1/Fbxo5/Ddx21/Cdk1/Prim1/Mcm5/Nfix/Supt16/Esco2/Tipin/Pclaf/Topbp1/Egfr/Npm1/Atad5/Gmnn/Rrm2/Rfc4/Chaf1a/Fen1",45
"GO:0007051","GO:0007051","spindle organization","39/574","181/23355",1.23981813130369e-25,2.59340780877408e-23,1.98831514555825e-23,"Aspm/Nuf2/Hnrnpu/Nek2/Spc25/Knstrn/Tpx2/Aurka/Kif4/Smc1a/Psrc1/Cenpe/Cdc20/Nudc/Stmn1/Tacc3/Haus3/Prc1/Rps3/Plk1/Fbxo5/Dlgap5/Bora/Kif23/Ccnb2/Aurkb/Chd3/Spag5/Kpnb1/Cenph/Ccnb1/Racgap1/Ranbp1/Kifc1/Tubb5/Ndc80/Cep192/Incenp/Kif11",39
"GO:0006281","GO:0006281","DNA repair","60/574","489/23355",5.6945264926516e-25,1.12498534488162e-22,8.62504305027348e-23,"Mcm3/Mcm6/Nucks1/Ube2t/Dhx9/Parp1/Dtl/Ssrp1/Rad51/Pcna/Pola1/Nono/Smc1a/Actl6a/Smc4/Smc2/Usp1/Clspn/Sfpq/Rpa2/Kdm1a/Cenps/Nsd2/Mcm7/Hmgb1/Rfc3/Sem1/Rpa3/Mcm2/Rad18/Rad51ap1/Foxm1/Trim28/Lig1/Blm/Rps3/Kif22/Neil3/Mcm5/Top2b/Supt16/Esco2/Cdkn2d/Pclaf/Topbp1/Egfr/Npm1/Pttg1/Brca1/Dek/Trip13/Smc6/Rad21/Rfc4/Hmgn1/Chaf1a/Uhrf1/Rbbp8/Cdca5/Fen1",60
"GO:0008380","GO:0008380","RNA splicing","54/574","393/23355",6.1947386332495e-25,1.15939424104396e-22,8.8888493407846e-23,"Ncl/Snrpe/Dhx9/Hnrnpu/Hnrnpa3/Snrpb/Raly/Rbm3/Rbmx/Nono/Rbm8a/Ptbp2/Psip1/Elavl4/Ybx1/Sfpq/Khdrbs1/Dhx15/Lsm8/Lsm5/Snrpg/Lsm3/Hnrnpf/Hnrnpl/Snrpa1/Rps13/Dazap1/Snrpf/Rps26/Lsm4/Lsm6/Sf3b3/Thoc7/Rtraf/Syncrip/Npm1/Hnrnph1/C1qbp/Srsf2/Alyref/Hnrnpk/Pabpc1/Hnrnpa1/Tra2b/Rnps1/Srpk1/Srsf3/U2af1/Hnrnpm/Lsm2/Srsf7/Snrpd1/Tcerg1/Celf4",54
