"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0010001","GO:0010001","glial cell differentiation","31/453","255/23355",4.06746247712628e-16,1.87265972446894e-12,1.17100103946741e-12,"Kcnj10/Vim/Ptpra/Phgdh/Dab1/Plpp3/Hes5/Ptprz1/Ptn/Nr2e1/Lrp1/Mt3/Clu/Dag1/Cspg5/Gfap/Sox9/Id4/Ntrk2/Id2/Hes1/Qk/Daam2/Tcf7l2/Nr1d1/Sirt2/Il6st/Klf15/Dmd/Ntrk3/Serpine2",31
"GO:0050673","GO:0050673","epithelial cell proliferation","38/453","443/23355",1.96482440072156e-14,3.01535051364068e-11,1.88554201262227e-11,"Igfbp5/Glul/Cebpb/Sox2/Notch2/F3/Jun/Hes5/Ptn/Apoe/Zfp36/Htra1/Gja1/Sfrp1/Fgfr1/Cyba/Adk/Rgcc/Ednrb/Sparc/Sox9/Ctsl/Thbs4/Id2/Zfp36l1/Hes1/Klf9/Tcf7l2/Sidt2/Nr1d1/Hgf/Fgfr2/Zfp703/Mcc/Tgfb2/Tfap2c/Fabp7/Nr4a1",38
"GO:0001503","GO:0001503","ossification","35/453","406/23355",1.8973932702198e-13,2.18389965402299e-10,1.36562384053977e-10,"Igfbp5/Bcl2/Lrp4/Cebpb/Gnas/Gpm6b/Sox2/Wwtr1/S1pr1/Id3/Atraid/Ptn/Gja1/Sfrp1/Fgfr1/Jund/Junb/Fermt2/Thra/Sox9/Id4/Id2/Cbs/Gabbr1/Rorb/Tcf7l2/Cebpd/Il6st/Bmpr1b/Tob1/Plxnb1/Sort1/Fgfr2/Col1a2/Ctnnbip1",35
"GO:0045685","GO:0045685","regulation of glial cell differentiation","18/453","94/23355",2.51171696369666e-13,2.31278898017189e-10,1.4462201885706e-10,"Ptpra/Dab1/Hes5/Ptprz1/Ptn/Nr2e1/Dag1/Id4/Id2/Hes1/Qk/Daam2/Tcf7l2/Nr1d1/Sirt2/Il6st/Ntrk3/Serpine2",18
"GO:0031589","GO:0031589","cell-substrate adhesion","30/453","358/23355",2.1509742128083e-11,1.10034280841883e-08,6.88060172167335e-09,"Bcl2/Sirpa/Ptpra/Sdc4/Gpm6b/Bcan/Vcam1/Limch1/Ptprz1/Ptn/Ttyh1/Lrp1/Cd63/Sfrp1/Calr/Fam107a/Vcl/Fermt2/Ephb1/Dag1/Cspg5/Atp1b2/Emp2/Ccdc80/Vit/Sorbs1/Rsu1/Itgb5/Pdpn/Dmd",30
"GO:0001649","GO:0001649","osteoblast differentiation","23/453","216/23355",4.30122725356758e-11,1.98028502754252e-08,1.23830068826393e-08,"Igfbp5/Cebpb/Gnas/Sox2/Wwtr1/Id3/Atraid/Gja1/Sfrp1/Fgfr1/Jund/Junb/Fermt2/Sox9/Id4/Id2/Gabbr1/Rorb/Cebpd/Il6st/Bmpr1b/Tob1/Ctnnbip1",23
"GO:0050678","GO:0050678","regulation of epithelial cell proliferation","30/453","377/23355",7.71740315665342e-11,2.96091034443603e-08,1.85149979240764e-08,"Glul/Sox2/Notch2/F3/Jun/Hes5/Ptn/Apoe/Zfp36/Htra1/Gja1/Sfrp1/Fgfr1/Cyba/Rgcc/Ednrb/Sparc/Sox9/Ctsl/Thbs4/Zfp36l1/Hes1/Klf9/Tcf7l2/Nr1d1/Fgfr2/Zfp703/Mcc/Tgfb2/Nr4a1",30
"GO:0070371","GO:0070371","ERK1 and ERK2 cascade","28/453","332/23355",8.76886339490305e-11,3.08107718953364e-08,1.92664184767811e-08,"Sirpa/Notch2/Klf4/Jun/Camk2n1/Apoe/Cavin3/Timp3/Lrp1/Mt3/Fermt2/Ndrg2/Ephb1/Gnai2/Sox9/Slc9a3r1/Zfp36l1/Zfp36l2/Nrxn1/Pdgfrb/Camk2d/Tpbg/Dusp1/Chil1/Phlpp1/Fgfr2/Dmd/Ntsr2",28
"GO:1901214","GO:1901214","regulation of neuron death","30/453","380/23355",9.36904445123174e-11,3.08107718953364e-08,1.92664184767811e-08,"Bcl2/Btg2/Prnp/Chmp4b/Cebpb/Gclm/Jun/Ppt1/Pink1/Ptprz1/Apoe/Lrp1/Mt3/Mt1/Clu/Neo1/Ephb1/Ntrk2/Fos/Nrbp2/Nr3c1/Egln3/Cntfr/Ppp2r2b/Ptprf/Sorl1/Retreg1/Tgfb2/Slc7a11/Ddit4",30
"GO:0031102","GO:0031102","neuron projection regeneration","13/453","62/23355",1.62381629373187e-10,4.93248229682987e-08,3.0843520695573e-08,"Bcl2/Klf4/Tnc/Jun/Ptn/Rgma/Lrp1/Neo1/Gfap/Hgf/Ptprf/Ntrk3/Prrx1",13
