"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0010001","GO:0010001","glial cell differentiation","31/453","242/16051",1.81737836094589e-12,8.23272397508489e-09,5.87874074019655e-09,"Kcnj10/Vim/Ptpra/Phgdh/Dab1/Plpp3/Hes5/Ptprz1/Ptn/Nr2e1/Lrp1/Mt3/Clu/Dag1/Cspg5/Gfap/Sox9/Id4/Ntrk2/Id2/Hes1/Qk/Daam2/Tcf7l2/Nr1d1/Sirt2/Il6st/Klf15/Dmd/Ntrk3/Serpine2",31
"GO:0042063","GO:0042063","gliogenesis","35/453","326/16051",1.15255407287291e-11,2.61053497505714e-08,1.86410456102024e-08,"Dbi/Kcnj10/Vim/Ptpra/Phgdh/Dab1/Plpp3/Hes5/Ptprz1/Ptn/Cd9/Nr2e1/Lrp1/Mt3/Clu/Dag1/Cspg5/Atp1b2/Gfap/Sox9/Id4/Ntrk2/Id2/Hes1/Qk/Daam2/Tcf7l2/Nr1d1/Sirt2/Il6st/Klf15/Dmd/Ntrk3/Tgfb2/Serpine2",35
"GO:0050673","GO:0050673","epithelial cell proliferation","38/453","388/16051",2.37741862277929e-11,2.7244835608736e-08,1.94547182120706e-08,"Igfbp5/Glul/Cebpb/Sox2/Notch2/F3/Jun/Hes5/Ptn/Apoe/Zfp36/Htra1/Gja1/Sfrp1/Fgfr1/Cyba/Adk/Rgcc/Ednrb/Sparc/Sox9/Ctsl/Thbs4/Id2/Zfp36l1/Hes1/Klf9/Tcf7l2/Sidt2/Nr1d1/Hgf/Fgfr2/Zfp703/Mcc/Tgfb2/Tfap2c/Fabp7/Nr4a1",38
"GO:0045685","GO:0045685","regulation of glial cell differentiation","18/453","86/16051",2.40572499856389e-11,2.7244835608736e-08,1.94547182120706e-08,"Ptpra/Dab1/Hes5/Ptprz1/Ptn/Nr2e1/Dag1/Id4/Id2/Hes1/Qk/Daam2/Tcf7l2/Nr1d1/Sirt2/Il6st/Ntrk3/Serpine2",18
"GO:0001503","GO:0001503","ossification","35/453","350/16051",8.49200708066677e-11,7.69375841508409e-08,5.49388163345031e-08,"Igfbp5/Bcl2/Lrp4/Cebpb/Gnas/Gpm6b/Sox2/Wwtr1/S1pr1/Id3/Atraid/Ptn/Gja1/Sfrp1/Fgfr1/Jund/Junb/Fermt2/Thra/Sox9/Id4/Id2/Cbs/Gabbr1/Rorb/Tcf7l2/Cebpd/Il6st/Bmpr1b/Tob1/Plxnb1/Sort1/Fgfr2/Col1a2/Ctnnbip1",35
"GO:0014013","GO:0014013","regulation of gliogenesis","19/453","115/16051",4.99829921544179e-10,3.77371590765855e-07,2.69469710334256e-07,"Vim/Ptpra/Dab1/Hes5/Ptprz1/Ptn/Nr2e1/Dag1/Gfap/Id4/Id2/Hes1/Qk/Daam2/Nr1d1/Sirt2/Il6st/Ntrk3/Serpine2",19
"GO:0048708","GO:0048708","astrocyte differentiation","16/453","81/16051",7.76359812646124e-10,5.02415707326706e-07,3.58759955528051e-07,"Vim/Dab1/Plpp3/Hes5/Nr2e1/Lrp1/Mt3/Gfap/Sox9/Id4/Id2/Hes1/Nr1d1/Il6st/Ntrk3/Serpine2",16
"GO:0001649","GO:0001649","osteoblast differentiation","23/453","186/16051",2.81221343732178e-09,1.53558716513305e-06,1.09651663958496e-06,"Igfbp5/Cebpb/Gnas/Sox2/Wwtr1/Id3/Atraid/Gja1/Sfrp1/Fgfr1/Jund/Junb/Fermt2/Sox9/Id4/Id2/Gabbr1/Rorb/Cebpd/Il6st/Bmpr1b/Tob1/Ctnnbip1",23
"GO:0021782","GO:0021782","glial cell development","18/453","114/16051",3.05083542741665e-09,1.53558716513305e-06,1.09651663958496e-06,"Kcnj10/Vim/Phgdh/Hes5/Lrp1/Mt3/Clu/Dag1/Cspg5/Gfap/Id4/Ntrk2/Id2/Tcf7l2/Nr1d1/Sirt2/Dmd/Ntrk3",18
"GO:0045667","GO:0045667","regulation of osteoblast differentiation","19/453","130/16051",4.20795078454557e-09,1.90620170539914e-06,1.36116134325353e-06,"Igfbp5/Cebpb/Gnas/Sox2/Wwtr1/Id3/Atraid/Sfrp1/Fgfr1/Jund/Fermt2/Sox9/Id2/Rorb/Cebpd/Il6st/Bmpr1b/Tob1/Ctnnbip1",19
